"x","y","island"
-166.26,23.654,"FFS"
-166.25,23.652,"FFS"
-166.25,23.651,"FFS"
-166.25,23.649,"FFS"
-166.25,23.648,"FFS"
-166.24,23.647,"FFS"
-166.24,23.647,"FFS"
-166.24,23.647,"FFS"
-166.23,23.647,"FFS"
-166.23,23.647,"FFS"
-166.23,23.646,"FFS"
-166.23,23.645,"FFS"
-166.22,23.644,"FFS"
-166.22,23.643,"FFS"
-166.21,23.641,"FFS"
-166.21,23.64,"FFS"
-166.21,23.638,"FFS"
-166.2,23.637,"FFS"
-166.2,23.636,"FFS"
-166.2,23.636,"FFS"
-166.2,23.637,"FFS"
-166.19,23.636,"FFS"
-166.19,23.636,"FFS"
-166.19,23.637,"FFS"
-166.18,23.637,"FFS"
-166.18,23.638,"FFS"
-166.18,23.638,"FFS"
-166.17,23.637,"FFS"
-166.17,23.635,"FFS"
-166.16,23.634,"FFS"
-166.16,23.632,"FFS"
-166.16,23.632,"FFS"
-166.15,23.631,"FFS"
-166.15,23.629,"FFS"
-166.14,23.627,"FFS"
-166.14,23.625,"FFS"
-166.14,23.625,"FFS"
-166.14,23.624,"FFS"
-166.13,23.627,"FFS"
-166.13,23.623,"FFS"
-166.13,23.622,"FFS"
144.65,13.232,"GUA"
144.65,13.233,"GUA"
144.66,13.235,"GUA"
144.66,13.237,"GUA"
144.66,13.239,"GUA"
144.67,13.238,"GUA"
144.67,13.237,"GUA"
144.67,13.236,"GUA"
144.68,13.236,"GUA"
144.68,13.237,"GUA"
144.68,13.238,"GUA"
144.69,13.239,"GUA"
144.69,13.24,"GUA"
144.69,13.24,"GUA"
144.7,13.24,"GUA"
144.7,13.24,"GUA"
144.7,13.241,"GUA"
144.71,13.241,"GUA"
144.71,13.241,"GUA"
144.71,13.241,"GUA"
144.72,13.243,"GUA"
144.72,13.245,"GUA"
144.72,13.247,"GUA"
144.72,13.244,"GUA"
144.73,13.244,"GUA"
144.73,13.244,"GUA"
144.73,13.246,"GUA"
144.74,13.247,"GUA"
144.74,13.251,"GUA"
144.74,13.253,"GUA"
144.74,13.257,"GUA"
144.74,13.261,"GUA"
144.75,13.263,"GUA"
144.74,13.266,"GUA"
144.74,13.268,"GUA"
144.75,13.267,"GUA"
144.75,13.269,"GUA"
144.75,13.27,"GUA"
144.75,13.273,"GUA"
144.75,13.276,"GUA"
144.75,13.272,"GUA"
144.76,13.275,"GUA"
144.76,13.277,"GUA"
144.76,13.28,"GUA"
144.76,13.283,"GUA"
144.77,13.286,"GUA"
144.77,13.289,"GUA"
144.77,13.292,"GUA"
144.77,13.294,"GUA"
144.77,13.297,"GUA"
144.77,13.3,"GUA"
144.78,13.303,"GUA"
144.78,13.307,"GUA"
144.77,13.31,"GUA"
144.77,13.312,"GUA"
144.77,13.314,"GUA"
144.77,13.314,"GUA"
144.78,13.315,"GUA"
144.78,13.318,"GUA"
144.77,13.322,"GUA"
144.78,13.325,"GUA"
144.78,13.328,"GUA"
144.78,13.331,"GUA"
144.77,13.333,"GUA"
144.77,13.336,"GUA"
144.77,13.337,"GUA"
144.77,13.338,"GUA"
144.78,13.342,"GUA"
144.78,13.344,"GUA"
144.78,13.347,"GUA"
144.78,13.351,"GUA"
144.78,13.355,"GUA"
144.78,13.358,"GUA"
144.78,13.36,"GUA"
144.78,13.364,"GUA"
144.78,13.366,"GUA"
144.78,13.368,"GUA"
144.78,13.369,"GUA"
144.78,13.373,"GUA"
144.78,13.376,"GUA"
144.78,13.379,"GUA"
144.78,13.381,"GUA"
144.78,13.383,"GUA"
144.78,13.385,"GUA"
144.78,13.389,"GUA"
144.78,13.392,"GUA"
144.78,13.395,"GUA"
144.78,13.398,"GUA"
144.78,13.401,"GUA"
144.78,13.404,"GUA"
144.78,13.406,"GUA"
144.79,13.409,"GUA"
144.79,13.412,"GUA"
144.79,13.415,"GUA"
144.79,13.417,"GUA"
144.8,13.42,"GUA"
144.8,13.423,"GUA"
144.8,13.426,"GUA"
144.8,13.426,"GUA"
144.81,13.427,"GUA"
144.81,13.428,"GUA"
144.81,13.43,"GUA"
144.81,13.432,"GUA"
144.81,13.434,"GUA"
144.81,13.436,"GUA"
144.82,13.438,"GUA"
144.82,13.44,"GUA"
144.82,13.441,"GUA"
144.83,13.442,"GUA"
144.83,13.444,"GUA"
144.83,13.445,"GUA"
144.83,13.448,"GUA"
144.84,13.451,"GUA"
144.84,13.452,"GUA"
144.84,13.454,"GUA"
144.84,13.454,"GUA"
144.84,13.453,"GUA"
144.84,13.455,"GUA"
144.84,13.456,"GUA"
144.84,13.459,"GUA"
144.85,13.461,"GUA"
144.85,13.462,"GUA"
144.85,13.464,"GUA"
144.86,13.467,"GUA"
144.86,13.468,"GUA"
144.86,13.472,"GUA"
144.86,13.474,"GUA"
144.87,13.476,"GUA"
144.87,13.479,"GUA"
144.87,13.482,"GUA"
144.87,13.485,"GUA"
144.88,13.486,"GUA"
144.88,13.488,"GUA"
144.88,13.49,"GUA"
144.89,13.491,"GUA"
144.89,13.495,"GUA"
144.89,13.497,"GUA"
144.89,13.5,"GUA"
144.89,13.502,"GUA"
144.89,13.505,"GUA"
144.9,13.507,"GUA"
144.9,13.508,"GUA"
144.9,13.51,"GUA"
144.91,13.512,"GUA"
144.91,13.513,"GUA"
144.91,13.514,"GUA"
144.91,13.515,"GUA"
144.92,13.515,"GUA"
144.92,13.516,"GUA"
144.92,13.516,"GUA"
144.92,13.518,"GUA"
144.93,13.519,"GUA"
144.93,13.522,"GUA"
144.93,13.526,"GUA"
144.93,13.529,"GUA"
144.93,13.532,"GUA"
144.93,13.536,"GUA"
144.93,13.539,"GUA"
144.94,13.542,"GUA"
144.94,13.544,"GUA"
144.94,13.547,"GUA"
144.94,13.55,"GUA"
144.94,13.553,"GUA"
144.94,13.557,"GUA"
144.94,13.56,"GUA"
144.94,13.563,"GUA"
144.94,13.566,"GUA"
144.94,13.569,"GUA"
144.95,13.571,"GUA"
144.95,13.574,"GUA"
144.95,13.578,"GUA"
144.95,13.581,"GUA"
144.95,13.585,"GUA"
144.95,13.588,"GUA"
144.95,13.592,"GUA"
144.96,13.595,"GUA"
144.96,13.598,"GUA"
144.96,13.599,"GUA"
144.96,13.601,"GUA"
144.95,13.602,"GUA"
144.95,13.602,"GUA"
144.95,13.601,"GUA"
144.94,13.601,"GUA"
144.94,13.601,"GUA"
144.94,13.602,"GUA"
144.93,13.602,"GUA"
144.93,13.602,"GUA"
144.92,13.603,"GUA"
144.92,13.604,"GUA"
144.92,13.606,"GUA"
144.91,13.607,"GUA"
144.91,13.609,"GUA"
144.91,13.612,"GUA"
144.91,13.616,"GUA"
144.9,13.62,"GUA"
144.9,13.623,"GUA"
144.9,13.626,"GUA"
144.9,13.629,"GUA"
144.89,13.632,"GUA"
144.89,13.635,"GUA"
144.89,13.639,"GUA"
144.89,13.642,"GUA"
144.88,13.645,"GUA"
144.88,13.649,"GUA"
144.88,13.652,"GUA"
144.87,13.656,"GUA"
144.87,13.657,"GUA"
144.87,13.658,"GUA"
144.86,13.658,"GUA"
144.86,13.658,"GUA"
144.86,13.656,"GUA"
144.85,13.654,"GUA"
144.85,13.65,"GUA"
144.85,13.647,"GUA"
144.85,13.643,"GUA"
144.85,13.639,"GUA"
144.84,13.635,"GUA"
144.84,13.633,"GUA"
144.84,13.629,"GUA"
144.83,13.625,"GUA"
